ISO3,year,sub_window,variable,value,source,note
BEL,1871,1820-1913,cinc,0.022011355,COW,
BEL,1872,1820-1913,pop,5178.0,Maddison,
BEL,1872,1820-1913,gdppc,4501.0,Maddison,
BEL,1872,1820-1913,v2x_libdem,0.338,V-Dem,
BEL,1872,1820-1913,v2x_polyarchy,0.345,V-Dem,
BEL,1872,1820-1913,cinc,0.021973914,COW,
BEL,1873,1820-1913,pop,5219.0,Maddison,
BEL,1873,1820-1913,gdppc,4495.0,Maddison,
BEL,1873,1820-1913,v2x_libdem,0.338,V-Dem,
BEL,1873,1820-1913,v2x_polyarchy,0.344,V-Dem,
BEL,1873,1820-1913,cinc,0.021278763,COW,
BEL,1874,1820-1913,pop,5261.0,Maddison,
BEL,1874,1820-1913,gdppc,4607.0,Maddison,
BEL,1874,1820-1913,v2x_libdem,0.338,V-Dem,
BEL,1874,1820-1913,v2x_polyarchy,0.345,V-Dem,
BEL,1874,1820-1913,cinc,0.020798946,COW,
BEL,1875,1820-1913,pop,5303.0,Maddison,
BEL,1875,1820-1913,gdppc,4560.0,Maddison,
BEL,1875,1820-1913,v2x_libdem,0.337,V-Dem,
BEL,1875,1820-1913,v2x_polyarchy,0.345,V-Dem,
BEL,1875,1820-1913,cinc,0.020968312,COW,
BEL,1876,1820-1913,pop,5345.0,Maddison,
BEL,1876,1820-1913,gdppc,4583.0,Maddison,
BEL,1876,1820-1913,v2x_libdem,0.338,V-Dem,
BEL,1876,1820-1913,v2x_polyarchy,0.345,V-Dem,
BEL,1876,1820-1913,cinc,0.019937079,COW,
BEL,1877,1820-1913,pop,5394.0,Maddison,
BEL,1877,1820-1913,gdppc,4597.0,Maddison,
BEL,1877,1820-1913,v2x_libdem,0.339,V-Dem,
BEL,1877,1820-1913,v2x_polyarchy,0.345,V-Dem,
BEL,1877,1820-1913,cinc,0.019112449,COW,
BEL,1878,1820-1913,pop,5442.0,Maddison,
BEL,1878,1820-1913,gdppc,4689.0,Maddison,
BEL,1878,1820-1913,v2x_libdem,0.345,V-Dem,
BEL,1878,1820-1913,v2x_polyarchy,0.356,V-Dem,
BEL,1878,1820-1913,cinc,0.019140732,COW,
BEL,1879,1820-1913,pop,5492.0,Maddison,
BEL,1879,1820-1913,gdppc,4694.0,Maddison,
BEL,1879,1820-1913,v2x_libdem,0.35,V-Dem,
BEL,1879,1820-1913,v2x_polyarchy,0.365,V-Dem,
BEL,1879,1820-1913,cinc,0.019181835,COW,
BEL,1880,1820-1913,pop,5541.0,Maddison,
BEL,1880,1820-1913,gdppc,4886.0,Maddison,
BEL,1880,1820-1913,v2x_libdem,0.35,V-Dem,
BEL,1880,1820-1913,v2x_polyarchy,0.366,V-Dem,
BEL,1880,1820-1913,cinc,0.019406825,COW,
BEL,1881,1820-1913,pop,5606.0,Maddison,
BEL,1881,1820-1913,gdppc,4894.0,Maddison,
BEL,1881,1820-1913,v2x_libdem,0.35,V-Dem,
BEL,1881,1820-1913,v2x_polyarchy,0.366,V-Dem,
BEL,1881,1820-1913,cinc,0.018721815,COW,
BEL,1882,1820-1913,pop,5673.0,Maddison,
BEL,1882,1820-1913,gdppc,4999.0,Maddison,
BEL,1882,1820-1913,v2x_libdem,0.35,V-Dem,
BEL,1882,1820-1913,v2x_polyarchy,0.365,V-Dem,
BEL,1882,1820-1913,cinc,0.019072674,COW,
BEL,1883,1820-1913,pop,5740.0,Maddison,
BEL,1883,1820-1913,gdppc,5013.0,Maddison,
BEL,1883,1820-1913,v2x_libdem,0.35,V-Dem,
BEL,1883,1820-1913,v2x_polyarchy,0.364,V-Dem,
BEL,1883,1820-1913,cinc,0.019650221,COW,
BEL,1884,1820-1913,pop,5807.0,Maddison,
BEL,1884,1820-1913,gdppc,4999.0,Maddison,
BEL,1884,1820-1913,v2x_libdem,0.35,V-Dem,
BEL,1884,1820-1913,v2x_polyarchy,0.365,V-Dem,
BEL,1884,1820-1913,cinc,0.019591028,COW,
BEL,1885,1820-1913,pop,5876.0,Maddison,
BEL,1885,1820-1913,gdppc,5002.0,Maddison,
BEL,1885,1820-1913,v2x_libdem,0.35,V-Dem,
BEL,1885,1820-1913,v2x_polyarchy,0.365,V-Dem,
BEL,1885,1820-1913,cinc,0.019129472,COW,
BEL,1886,1820-1913,pop,5919.0,Maddison,
BEL,1886,1820-1913,gdppc,5026.0,Maddison,
BEL,1886,1820-1913,v2x_libdem,0.344,V-Dem,
BEL,1886,1820-1913,v2x_polyarchy,0.355,V-Dem,
BEL,1886,1820-1913,cinc,0.01843567,COW,
BEL,1887,1820-1913,pop,5962.0,Maddison,
BEL,1887,1820-1913,gdppc,5180.0,Maddison,
BEL,1887,1820-1913,v2x_libdem,0.343,V-Dem,
BEL,1887,1820-1913,v2x_polyarchy,0.353,V-Dem,
BEL,1887,1820-1913,cinc,0.01812526,COW,
BEL,1888,1820-1913,pop,6007.0,Maddison,
BEL,1888,1820-1913,gdppc,5176.0,Maddison,
BEL,1888,1820-1913,v2x_libdem,0.343,V-Dem,
BEL,1888,1820-1913,v2x_polyarchy,0.352,V-Dem,
BEL,1888,1820-1913,cinc,0.018092647,COW,
BEL,1889,1820-1913,pop,6051.0,Maddison,
BEL,1889,1820-1913,gdppc,5386.0,Maddison,
BEL,1889,1820-1913,v2x_libdem,0.342,V-Dem,
BEL,1889,1820-1913,v2x_polyarchy,0.352,V-Dem,
BEL,1889,1820-1913,cinc,0.017756298,COW,
BEL,1890,1820-1913,pop,6096.0,Maddison,
BEL,1890,1820-1913,gdppc,5464.0,Maddison,
BEL,1890,1820-1913,v2x_libdem,0.342,V-Dem,
BEL,1890,1820-1913,v2x_polyarchy,0.351,V-Dem,
BEL,1890,1820-1913,cinc,0.016938718,COW,
BEL,1891,1820-1913,pop,6164.0,Maddison,
BEL,1891,1820-1913,gdppc,5412.0,Maddison,
BEL,1891,1820-1913,v2x_libdem,0.341,V-Dem,
BEL,1891,1820-1913,v2x_polyarchy,0.351,V-Dem,
BEL,1891,1820-1913,cinc,0.016191492,COW,
BEL,1892,1820-1913,pop,6231.0,Maddison,
BEL,1892,1820-1913,gdppc,5486.0,Maddison,
BEL,1892,1820-1913,v2x_libdem,0.342,V-Dem,
BEL,1892,1820-1913,v2x_polyarchy,0.353,V-Dem,
